2025-10-23 at 10:38:25 | INFO | Бот запущен
2025-10-23 at 10:38:28 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:38:32 | INFO | ЛС: 8377471211 начал чат
2025-10-23 at 10:38:47 | INFO | ЛС: эхо для 8377471211
2025-10-23 at 10:38:51 | INFO | ЛС: эхо для 8377471211
2025-10-23 at 10:38:59 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:39:29 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:40:00 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:40:30 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:41:00 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:41:31 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:42:01 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:42:31 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:43:02 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
2025-10-23 at 10:43:32 | ERROR | Канал: ошибка Telegram server says - Bad Request: need administrator rights in the channel chat
